e (Vokal über Konsonant); عَلامَت ِ کَسرَه
- seinen Einstand geben; سورى دادَن، چَشن به هَواى ِ شُروع ِ کار بَر پا کَردَن
einstecken;
- Geld einstecken; پول توى ِ چیب ِ خودش گُذاشتَن
- Tadel einstecken; سَرزَنِش را خوردَن
einstehen;
- für eine Sache einstehen; ضامِن شُدَن
einsteigen;
- in den Zug einsteigen; سَوار ِ قَطار شُدَن
- jem. einsteigen lassen; کِسى را سَوار کَردَن
einstellen;
- jem. einstellen; کِسى را اِستِخدام کَردَن
- etwas einstellen, aufhören; چیزى را موقوف کَردَن
- die Arbeit einstellen; کاررا تَعطیل کَردَن
- die Zahlungen einstellen; پَرداخت هارا مُتَوَقِف کَردَن
- Ermittlungen einstellen; به رِِسیدِگى خاطِمه دادَن
- Spiegel einstellen; آئینه را میزان کَردَن
- das (Gewehr-) Feuer einstellen; شَلیک نَکَردَن
- ich habe mich innerlich darauf eingestellt; دِلَم را صابون زَدَم، شِکَمَم را ـ
einstellig (Zahl); عَدَد ِ یِک رَقَمى
Einstellung;
- Einstellung der Feindseligkeiten; قَطع ِ مُخاصِمه، تَرک ِ مُخاصِمات 
- Einstellung des (Gewehr-) Feuers; آتَش بَس
- Einstellung auf Probe; اِستِخدام ِ آزمایِشى
- fortschrittliche Einstellung; موضع ِ تَرَقى
- Einstellung der Kampfhandlungen; قَطع ِ عَمَلیات ِ رَزمى
- Einstellung der Lieferung; اِنقِطاع ِ تَحویل
- Einstellung eines gerichtlichen Verfahrens; تَرک ِ تَعَقیب
- eine Einstellung gegenüber jem. haben; اِظهار ِ نَظَر نِسبَت به کِسى داشتَن، نَظَرى نِسبَت ـ
- er hat keine rechte Einstellung zu seinem Vorgesetzten; آب ِ او با رَئیسِش توى ِ یِک جَوى نِمیرَوَد
- keine rechte Einstellung, Meinung haben zu ..; مَن دَر این مَطلَب بَصیرَت ِ دُرُستى نَدارَم
- Zahlungseinstellung; خاطِمه پَرداخت، قَطع ِ ـ
Einstellungsbüro; اِدارهٔ کار گُزینى
- Leiter des Einstellungsbüros; کار گُزین
Einstich; جاى ِ نیش، جاى ِ گَزیدِگى
Einstieg;
- als Einstieg, ..; بَراى ِ سُهولَت ِ عَمَل، بَراى ِ شُروع
einstig;
- einstig, früher; قَبلاً
- einstig, verstorben; فَقید
einstimmig; به اِتِفاق ِ آراء، با اِتِفاق ِ رأى
- das Lied ist einstimmig; سُرود یِک صِدا است
- einstimmige Meinung; نَظَر ِ اِجماعى، ـ هَمِگانى
Einstimmigkeitsentscheidung; اِتِخاذ ِ تَصمیم بِاِتِفاق ِ آراء
einstreuen;
- Wörter einstreuen (i.S. dazwischenbrummeln); بُلغور کَردَن
- Bemerkungen einstreuen; دَر سُخَن نَمَک پاشیدَن
einstudieren;
- seine Rolle einstudieren; رُل ِ خودرا تَمرین کَردَن
einstufen; دَرَجه بَندى کَردَن
- etwas finanziell einstufen; چیزى را قِیمَت گُذارى کَردَن
- er wird als Kranker eingestuft; او یِک بیمارى تَلَقى مى شَوَد
einstürmen;
- auf jem. einstürmen; بَر کِسى حَمله کَردَن، ـ هُجوم آوَردَن
einstürzen;  .فُرو ریختَن، ریزِش کَردَن، سُقوط ک
- etwas einstürzen lassen (durch Steinschlag); چیزى را رُمبانیدَن
Einsturzgefahr; خَطَر ِ رُمبِش، ـ فُروریختِگى، ـ خَرابى
einstweilen; مُوَقَتاً، فِعلاً
einstweilig; مُوَقَتى
- einstweilige Verfügung; دَستور ِ مُوَقَتى
einsuggerieren; اِلقاء کَردَن
Eintagsfliege; مَگَس ِ روزخیز
eintauchen; .غوطه وَر شُدَن، فُرو رَفتَن، زیر آب ر
- in den Glanz von ... eingetaucht; ... ِ غَرق دَر تَلاْلؤ
einteilen;
- einteilen (in Grade); مُدَرِج کَردَن
- einteilen (seiner Zeit); از وَقت صَرفه  جوئى کَردَن
- etwas in 4 Gruppen einteilen;  .چیزى را به ۴ قِسمَت طَبَقه بَندى کَردَن، ـ تَقسیم ک
- in Abstände eingeteilt; مُنفَصِل
Einteilung; اِنقِسام، تَقَسُم، تَقسیم، قِسمَت بَندى
eintönig;
- eintöniges Leben; زِندِگى ِ کَسِل کُنَنده
- eintönige Melodie; آهَنگ ِ یِکنَواخت
Eintönigkeit; یِکنَواختِگی
- in der Eintönigkeit des Lebens gefangen sein; دَر روزمَرگی زِندِگی گِرِفتار شُدَن
Eintopf; آش دَرهَم بَرهَم، آش
Einträchtigkeit; یِکدِلى، اِتِحاد، سازِش
Eintrag;
- einen Eintrag vornehmen; یادداشت کَردَن
eintragen; یادداشت کَردَن، ثَبت ک.، به ثَبت رِِسیدَن
- s. eintragen; ثَبت ِ نام کَردَن، اِسم نِوِشتَن
- Sie müssen s. eintragen; شُما بایَد اِسم نِویسى کُنید، ـ اِسم ِ خودرا ثَبت کُنید
- Eingetragenes Warenkennzeichen; عَلامَت ِ تِجارَتى، ـ ثَبت شُده
einträglich; فَرع آوَر، مُفید، پُرسود، سودمَند
- einträglicher Job; کار ِ دَندان گیرى، ـ پول بیار، ـ پُر دَرآمَد
Einträglichkeit; ضَریب ِ اِنتِفاع، پُرمَنفَعَتى، سودمَندى
Eintragung;
- Eintragung ins Buch; ثَبت ِ نام دَر کِتاب، اِسم نِویسى ـ
- Vereinseintragung; ثَبت ِ اَنجُمَن
einträufeln; چَکاندَن دَر چیزى
eintreffen; سَر رِِسیدَن، وارِد شُدَن
- in der Stadt eintreffen; وارِد ِ شَهر شُدَن
- der Tod ist plötzlich eingetroffen; مَرگ ناگِهان سَر رِِسید
eintreiben (Steuern, u.ä.); .مالیت را وُصول کَردَن، ـ اَخذ ک
- Aussenstände eintreiben; دُیون را بَرگَردانیدَن، ـ تَحصیل کَردَن
eintreten;
- eintreten für; از چیزى شَفاعَت کَردَن، وَساطِت ک.، طَرَفدارى ک.، به جانِبدارى از کِسى بَرخاستن
- in eine entscheidende Phase eintreten; وارِد ِ مَرحَلهٔ قَطعى شُدَن
- die Tür eintreten; با زور دَررا باز کَردَن
- bitte, treten Sie ein; بِفَرمائید بیائید تو
- eine Störung tritt ein; وَقفه پیش میایَد
eintrichtern;
- jem. eine Lektion eintrichtern; دَرس را توى ِ گوش ِ کِسى فُرو کَردَن، موضوع را خَر فَهم ِ کِسى کَردَن
Eintritt; دُخول، وُرود
- der Eintritt kostet 5 Euro; وُرودیه ۵ یورو است
- der Eintritt ist frei; وُرود آزاد است، ـ مَجانى است
- der Eintritt der Dämmerung; وُقوع ِ غُروب
- Eintritt in die Regierung; به عُضویَت ِ کابینه دَر آمَدَن
Eintrittsgebühr; وُرودیه
Eintrittskarte; کارت ِ وُرودى
eintunken;
- Brot eintunken;  .نان را تَرید کَردَن، ـ تِلید ک
einverleiben;  .مُلحَق کَردَن، مُنَضِم ک.، مُتَصِل ک.، وارِد ک
- s. eine Tasse Tee einverleiben; یِک اِستِکان ِ چای نوش ِ جان کَردَن
Einverleibung; اِدخال، اِدغام، اِلحاق، دُخول
Einvernehmen; هَمسازى، تَفاهُم، اِتِفاق، سازِش
einvernehmlich;
- einvernehmlich sein mit; هَمساز شُدَن با، با حُسن ِ تَفاهُم
einverstanden;
- einverstanden sein; مُوافِق بودَن
- s. einverstanden erklären mit; اِعلام ِ مُوافِقَت کَردَن با
Einverständnis;
- fehlendes Einverständnis; عَدَم تَراضى، ـ رِضایَت
- stillschweigendes Einverständnis; مُوافِقت ِ ضِمنى، سُکوت عَلامَت ِ رِضا، تَواطُؤ، تَبانى
- sein Einverständnis geben; رِضایَت ِ خودرا دادَن
- sein Einverständnis erklären; اِبراز ِ رِضایَت کَردَن
Einverständniserklärung; رِضایَت نامه
Einwand; ایراد، اِعتِراض
- Einwand erheben; عِیب ِ چیزى را گِرِفتَن، اِعتِراض کَردَن، ایراد داشتَن
Einwanderer; مُهاجِر
einwandern; مُهاجِرَت کَردَن
Einwanderung; مُهاجِرَت
einwandfrei; بى ایراد، بى عِیب و نَقص، دُرُست
- seine Arbeit ist einwandfrei; کارش ایراد ناپَذیر است
- seine Vergangenheit ist einwandfrei; او سابِقهٔ سوئى نَدارَد
einweichen; تَر و نَرم کَردَن، سیرآب ک.، خیسانیدَن، خیس دادَن
- Brot einweichen; نان را توى ِ آبگوشت تِلیت کَردَن، ـ تَریدَن
- eingeweichter Reis; برِنج ِ خیس خورده
einweihen;
- jem. in etwas einweihen; کِسى را از چیزى مَسبوق کَردَن، ـ مُطَلع ک.، کِسى را مَحرَم ِ چیزى ساختَن
- er ist in etwas eingeweiht; او مَسبوق ِ چیزى شُده، او وارِد ِ ـ
Einweihung;
- Einweihung des Altars; تَبَرُک ِ مَذبَح
einweisen;
- jem. in seine Arbeit einweisen; کِسى را آشنا کَردَن به کارِش
- jem. ins Krankenhaus einweisen; کِسی را به بیمارِستان تحویل دادَن
Einweisungsbefehl; دَستور ِ اِسکان، ـ فَراخوان
einwerfen (Brief); نامه را دَر صَندوق اَنداختَن
einwickeln; دَر چیزى مَلفوف کَردَن، ـ تَلفیف ک.، پیچیدَن
- er wickelte das in die Zeitung ein; آنرا لاى ِ روزنامه مى پیچَد
einwilligen; قَبول کَردَن، اِجازه دادَن، رِکاب د.، تَن د، قائِل بودَن، - شُدَن
- er wird nicht in die Rassendiskriminierung einwilligen; او تَبعیض ِ نِژادى قائِل نمی شَوَد
Einwilligung; مُوافِقت، رِضا، رِضامَندى، رِضایَت، اِجازه، اِستِصواب
Einwohner; ساکِن
- die Einwohner von ...; ... ِ اهالى ِ...، ساکِنان
Einwohnermeldeamt; اِدارهٔ ثَبت
Einzahl; مُفرَد
- Einzahl & Mehrzahl; مُفرَد و جَمع
- Baum ist die Einzahl von Bäume; دِرَخت مُفرَد ِ دِرَختها است
einzahlen;
- Geld auf ein Konto einzahlen; پول به بانک ریختَن، واریز کَردَن، ـ پَرداختَن
- Einzahlung & Auszahlung; پَرداخت و بَرداشت
Einzahlungsschalter; گیشهٔ پَرداخت
einzäunen; حِصار کِشیدَن، تارُم ک.، نَرده اَنداختَن،  پَرچین کَردَن
Einzäunung; دار بِزین، حِصار، نَرده کِشى، دیواره، پَرچین
- er ist mit der Einzäunung beschäftigt; او مَشغول ِ پَرچین کِشى است
einzeichnen;  .عَلامَت گُذارى کَردَن، تَرسیم ک
Einzelaufhängung; تَعلُق ِ مُستَقِل، آویزش ِ مُستَقِل
Einzelfall; اِتِفاق ِ مُنحَصِر بِفَرد
- das ist kein Einzelfall; این اِتِفاق ِ اِستِثنائى نیست، این قَضیه بى نَظیر نیست، دَر این تَخَصُص آن چیز مُنحَصِر بِفَرد نیست
Einzelgänger; تَک رو، گوشه نِشین، کَم مُعاشِر، مُفَرِد
Einzelgängertum; تَک رَوی
- Einzelgängertum in der Gesellschaft; تَک رَوى دَر اِجتِماع
Einzelhaft; حَبس ِ مُجَرَد
Einzelhandel; خُرده فُروشى، تَکفُروشى، تیکه فُروشى
Einzelheit; (pl.)  (جُزئی (جُزئیات
- in allen Einzelheiten; از سیر تا پیاز، از نَقیر و قِطمیر
- verlier dich nicht in Einzelheiten!; حاشیه نَرو
Einzelkäfig; قَفَس ِ تَکى
Einzelkampf; جَنگ ِ تَن بِتَن
Einzelkämpfer; وَرزِشکار ِ مُنفَرِد
Einzeller; آغازیان، تَکسِلول، تَک یاخته
einzellig; تَک سِلولى
Einzelmitgliedschaft; عُضویَت ِ مُنحَصِر بِفَرد
einzeln;
- ein einzelner Schuh; یِک لِنگه کَفش
- die Augenbrauen einzeln hochziehen; اَبروها را لِنگه به لِنگه بالا اَنداختَن
- das ist einzeln käuflich; این را جُداگانه میتَوان خَرید
- einzeln genommen; فَرداً فَرد
- der einzelne Mensch; اِنسان ِ مُفرِد
- die Welt und der einzelne Mensch; جَهان و اَحَد ِ بَشَرى
- jem. etwas einzeln geben; چیزى را یِکى یِکى به کِسى دادَن، ـ دانه دانه ـ
- jeden Apparat einzeln herstellen; هَر دَستگاه را تَک تَک ساختَن
- für jede einzelne Mahlzeit; بَراى ِ هَر وَعدهٔ غَذا
- jedes einzelne Evangelium; هَر اِنجیل ِ اِنفِراداً
- es gab einzelne; تَک و توک بودَند
- der Einzelne; فَرد، اَحَد
- jeder Einzelne von uns; هَر کُدام از ما، هَر یِکى از ماها
- ein Einzelner kann nichts tun; فَرد ِ تَنها بى چاره است
Einzelradaufhängung; تَعلُق ِ یِک چَرخى
Einzelstück; جُزو عَلیحِده
Einzelverantwortung; مَسئولیَت ِ فَردى
Einzelzimmer; اُطاق ِ یِکنَفَرى
einziehen;
- Steuern einziehen; تَحصیل ِ مالیات کَردَن
- Band in etwas einziehen; نَواررا دَر چیزى رَد کَردَن
- Faden einziehen; نَخ را دَر سوزَن کَردَن
- eine Wand einziehen; یِک دیوار کِشیدَن
- die Fahne einziehen; پَرچَم را پائین آوَردَن
- den Kopf einziehen; سَر دَر کِشیدَن
- die Farbe zieht ein; رَنگ خورد می رَوَد
- alte Münzen einziehen; پول ِ سابِق را از رَواج اَنداختَن
- zum Militär einziehen; به خِدمَت ِ نِظامى اِحضار کَردَن
- Literatur einziehen;  .کِتابهارا جَمع آوَرى کَردَن، ، ـ مُصادِره ک
- ich habe mir einen Splitter in die Hand eingezogen; نیش ِ چوبى به دَستَم فُرو رَفته است
Einziehung;
- Einziehung (Steuer, u.ä.); تَحصیل
- Einziehung, Beschlagnahmung; مُصادِره، توقیف، ضَبط
- Einziehung alter Forderungen; وُصول ِ مُطالبهٔ سابِق
einzig;
- einzig & allein; مَحضاً، فَقَط و فَقَط، تَک و تَنها، یِک تَنه
- er ist sein einziger Sohn; او تَنها پِسَر ِ اوست
- dass sein Wille in keinem einzigen Punkt von ... abweicht;  اِرادهٔ او حَتى یِک آن هَم از ... مُنحَرِف نَگَردید
- im einzigen Bett; دَر تَنها رَختِخواب
- in einem einzigen Augenblick; دَر یِک لَحظه،  ـ آن
