Saal (m); سالُن
- schwaches Feuer; آتَش ِ کَم سو
Schwäche; رِخوَت، ضَعف
- jem. Schwäche wird offenbar (und man redet darüber); تَق ِ کِسي دَر مي آيَد
- nicht die Schwäche anderer ausnutzen; آدم  حسابش  را پيش  خودش  ميکند : از شرمگني  و حجب  ديگران  استفاده  سوء نبايد کردن
- Atemschwäche; عُسر ِ نَفَس
Schwächeanfall;
- unterwegs einen Schwächeanfall haben; دَر راه ضَعف کَردَن
schwächen; کِسى را زَبون ساختَن، ـ ضَعيف کَردَن
Schwacher; شَخص ِ ضَعيف
- einen Schwachen nicht vernichten; شَخص ِ ضَعيف را از پا دَر نَيآوَردَن
Schwachkopf; نِفله، اَلدَنگ
schwächlich;
- schwächlicher Jüngling; جَوان ِ تَکيده، ـ زَبون
Schwachsinn; قِلَت ِ عَقل
schwachsinnig; خَرَفت
- schwachsinniger Mensch; آدَم ِ کودَن، ضَعيف اُلعَقل، سَخيف ـ
Schwächung; تَضعيف
- wirtschaftliche Schwächung; تَضعيف ِ اِقتِضادى
Schwager;  (باجِناق (شوهَر ِ خواهَر ِ زَنَم)، آيزِنه (شوهَر ِ خواهَر
Schwägerin;   (هَمگيس، خازِنه، زَن ِ بَرادَر، جاری (زَن ِ بَرادَر ِ شوهَر
Schwalbe; پَرَستوک، چِلچِله
- eine Schwalbe macht noch keinen Sommer; با يِک گُل بَهار نِمى آَيَد
- einer Schwalbe das Fliegen beibringen wollen; آزموده را آزمودَن خَطاست
Schwamm; اِسفَنج، اَبر
- Schwamm, Schimmel; کَپَک
- Reinigungsschwamm; پاک ِ فوم
Schwan; قو
schwanen; اِحساس کَردَن
- mir schwante Schlimmes; اِحساس ِ شُبهه کَردَم
schwanger; آبِستَن، حامِله
- sie war im 9. Monat schwanger; او ۹ ماهه حامِله بود
Schwangerschaft; آبِستَنى، حامِلِگى
Schwangerschaftsabbruch; کورتاژ
Schwangerschaftsgelüste; ويار ِ زَن ِ آبِستَن
Schwangerschaftsverhütung; جِلوگيرى از حامِلِگى
schwanken;
- schwanken (Schiff, u.ä.); لَق بودَن، نَوان شُدَن، جُنبِش خوردَن
- er schwankt (i.S. zweifelt); او مُرَدَد است
- er schwankte zwischen Habgier und Angst; او بِين ِ طَمع و تَرس سَرگَردان بود
Schwankung; نَوَسان، تَغيير، بى ثَباتى، اُفت و خيز
Schwankungsbreite; ميزان ِ نَوَسانات
Schwanz; دُم
- er zog seinen Schwanz ein; دُمَش را روى ِ کولَش گُذاشت
- Fettschwanz  (beim Schaf); دُنبه
schwänzen;
- Schule schwänzen; از مَدرِسه جيم شُدَن، ـ دَر رَفتَن
- einer, der die Schule schwänzt; مَکتَب گُريز
schwärmen; شيفتة چيزي بودَن
schwarz; اَسوَد، مِشکى، سياه
- schwarze Nacht; شَب ِ تار
- schwarzer Tag; بَخت بَر گَشته، تيره روز، سياه بَخت
- schwarzes Schaf sein; گوسفَند ِ پيشانة سِفيد بودَن
- schwarzes Brett; تابلوى ِ اِعلانات
- ich sehe schwarz; چَشمَم آب نِمى خورَد
- schwarz vor Augen werden; چِشمها سياهى رَفتَن
- sie machen ihn zum Schwarzen Peter; کاسة کوزه را سَرَش مى شِکَنَند
schwärzlich; سياه فام
Schwarzmalerei; تَصوير ِ بَدبينانه
Schwarzmarkt; بورس ِ سياه، بازار ِ ـ
Schwarzsender; فِرِستَندة غِير ِ مُجاز
Schwärzung; اِسوِداد
Schwarzweissmalerei; سايه روشَن، فِکرهاى ِ سياه سِفيد
schwatzen;
- mit jem. schwatzen; با کِسى وِر زَدَن، ـ گَپَ زَدَن
- er schwatzt mit ihnen; او با آنها خوش و بِش مي کُنَد
- drauflos schwatzen;  .بى رَبط گُفتَن، چَرَند گ
- über alles mögliche schwatzen; از هَر دَري حَرف زَدَن
- schwätz nicht rum; پُر چانِگی نَکُن
- mach das und schwätze nicht lange herum (popul.); اينرا بُکَن توى ِ نَخ اين حُرَفا نَرو
Schwätzer; مُهمَل باف، پُرچانه، دَهَن لَق، ياوه سَرا، وَراج، مُغلَق گو، حَراف
- als Dummschwätzer gelten; کِسی را حَرف ِ حَسَن پَشم ِ کَسَن به حِساب می آيَند
Schwebebahn; سيم ِ نَقاله، تِلِکابين
schweben;
- in den Lüften schweben; به سُهولَت اين وَر آن وَر حَرَکَت کَردَن
- schwebende Frage; مَسائل دَر حال ِ تَعليق، سئوال ِ مُعَلَق
- schwebendes Verfahren; وَضيعَت بِلاتَکليف است، ـ مُعَلَق است
Schwefel; گوگِرد
Schwefelsäure; جوهَر ِ گوگِرد، اَسيد ِ سولفوريک
Schweigegeld; حَق ِ سُکوت
- Schweigegeld bezahlen; حَق السُکوت پَرداختَن
schweigen; سُکوت کَردَن
- schweigen zu ..; رِسانه دَر مورِد ِ .. سُکوت کَردَن
- schweigen wie ein Grab; چِفت و بَست ِ دَهان را مُحکَم کَردَن
- er schweigt vor Angst; از تَرس زَبانَش بَند مى آيَد
- er schwieg; او لَب از لَب بَر نَداشت
- schweigende Mehrheit; اَکثَريَت ِ ساکِت
Schweigen (n); سُکوت، صَموت، صُمات
- durch Argumente zum Schweigen bringen; اِفحام
- als er mein Schweigen bemerkte; وَقتى تو لَب رَفتَن ِ مرا مى بينَد
- jetzt ist Schweigen angesagt (genug geredet); اُلُب اُلُب سَنگِ سُرُب
- jem. gewaltsam zum Schweigen bringen; دَهَن ِ کِسی را سِرويس کَردَن
Schweigepflicht; واجِب الکِتمان، تَعَهُد ِ راز دارى
Schweigeturm (bei Zoroastern); دَخمه
schweigsam;
- er sah ihn mürrisch und schweigsam; اورا دَرهَم و گِرِفته ديد
Schwein; خوک، خِنزير
Schweinehund;
- den inneren Schweinehund überwinden; پاي ِ کِسي روي ِ بيل رَفتَن
Schweinestall; خوکدان
Schweiss; عَرَق
- im Schweisse deines Angesichtes; به عَرَق ِ پيشانى ات
- der Schweiss steht auf der Stirn (wegen Verlegenheit); از خِجالَت آب شُدَن
- das habe ich mir im Schweisse meines Angesichts erarbeitet; اين را از کَد ِ يَمين و عَرَق جَبين  ِخود دَر آوَردَم
Schweissband; عَرَق چين
Schweissbrenner; تُرج ِ جوش
schweissen; جوش دادَن، جوشکارى کَردَن
- zusammengeschweisst werden; جوش خوردَن
Schweissen (n); جوشکارى
Schweissgeruch; پِلِشتى ِ عَرَق
Schweissindustrie; صَنعَت ِ جوش
Schweissnaht; خَط ِ جوش
Schweisssekretion; تَرَشُح ِ عَرَق
Schweisstechnik; صَنايِع ِ جوش
Schwelle; آستانه
- Türschwelle; دَرگاه ِ مَنزِل، آستانة مَنزِل
- Eisenbahnschwelle; تراوِرس ِ راه ِ آهَن
- an der Schwelle des ..; دَر آستانة
schwellen;  .وَرَم کَردَن، آماسيدَن، نَفخ کَردَن، باد ک
- vor Freude schwillt ihm der Kamm; کَپک ِ خُروسَش بانگ مي زَنَد
Schwellenreiz; کَمتَرين شِدَت ِ تَحريک
Schwellenwert; حَدِاَقَل ِ شِدَت ِ تَحريک
Schwellung; وَرَم، آماس
Schwengel; کوبه
Schwenkbereich; ناحية نَوَسان، ـ اِرتِعاش
schwenken; نَوَسان کَردَن
Schwenkkran; جَر ِ ثَقيل ِ گَردان
schwer; سَنگين، صَعَب
- schwer, kompakt; ثَقيل
- er ist schwer verletzt worden; او بَد جورى مَجروح شُد، او سَخت مَجروح ـ
- schwer passierbar; صَعَب اُلعُبور
- schwer zugänglich; صَعَب اُلوُرود
- schwer im Magen liegen; غَذا دَر مِعده سَنگينى مى کُنَد
- sein Gewicht ist schwer; وَزنَش سَنگين است
- schwerer Kreuzer; رَزم ناو
- die Tasche wurde immer schwerer auf ihrer Schulter; کيفَش لَحظه به لَحظه بيشتَر به شانه اش فِشار مى آوُرد
Schwere; سَنگينى
Schwerelosigkeit; حالَت ِ بى وَزنى
schwerfallen; زور آمَدَن
- es fällt mir schwer, zu grüssen; زورم مى آيَد سَلام کُنَم
- es fällt mir schwer, .. zu finden; دَر يافتن ِ.. به مُشکِل بَر مى خورَم
schwerfällig; کُند
- er ist schwerfällig; او کُند فَهم است
- schwerfällig im Reden; آدَم ِ بَطى اُلکَلام
Schwerhörigkeit; ثِقَل سامِعه، گوش سَنگينى
Schwerkraft; نيروى ِ ثِقَل، نيروى ِ جاذِبه
- Gesetz der Schwerkraft; قانون ِ گِرانِش
schwerlich; به زور
- man lernt ihn schwerlich kennen durch ..; اورا از طَريق ِ ... مُشکِل مى شَوَد شِناخت
schwermachen;
- s. die Arbeit gewaltig schwermachen; کار ِ خودرا کوه کَردَن
- jem. das Leben schwermachen; به جان ِ کِسى اُفتادَن
- mit spitzen Bemerkungen jem. das Leben schwer machen; مَتَلَک بار ِ کِسي کَردَن
- du machst es mir schwer; تو به مَن سَخت مى گيرى
- um ihm mit .. das Leben schwer zu machen; تا اورا با .. ذَليل سازَد، تا اورا از پاى دَر بياوَرَد
Schwermetall; فِلِز ِ سَخت
Schwermut; ماليخوليا، اَفسُردِگى
schwermütig; ماليخوليائى، اَفسُرده
schwernehmen;
- s. das Leben schwernehmen; زِندِگى را سَخت گِرِفتَن
Schwerpunkt; مَرکَز ِ ثِقَل، گِرانيگاه
- mit Schwerpunkt auf ...; ... با تَوَجُه ِ خاص بَر
Schwert; شَمشير، قَمِچيل
- Schwert (2-schneidig); قَداره
- steck dein Schwert weg; شَمشيرَت را غَلاف کُن
Schwertfisch; اَره ماهى
Schwertschaft; مُؤَخَر ِ نِيزه
Schwester; (pl.) اُخت (اَخوات)، خواهَر، آبجي
Schwiegersohn; داماد
Schwiegertochter; عَروس
Schwielen; ناصور، پينه دار، شَوا، طاوُل
- schwielige Hand; دَست ِ پينه زَده
schwierig;
- schwierig sein;  .مُتَعسِر بودَن، مُشکِل ب.، سَخت ب.، مُعضِل ب
- schwierige Aufgabe; تَکليف ِ شاق، ـ دُشوار
- die Geschichte ist schwieriger, als man denkt; اين قَضيه بيخ دارَد
Schwierigkeit; (pl.) گير، مَسئَله، مَنع (مَوانِع)، مُشکِل (مُشکِلات)، مَضيقه (مَضايِق)، تَعسُر، مُعضِل (مُعضِلات)، دَغمَسه، عُسرَت
- in Schwierigkeiten sein;  .دَر حِيص و بِيص بودَن، ـ مَخمَصه ب
- in Schwierigkeiten kommen; به مَخمَصه اُفتادَن، به خِنِس و فِنِس اُفتادَن، به سُتوه آمَدَن
- jem. in Schwierigkeiten bringen; کِسى را به دَغمَسه اَنداختَن، ـ به هَچَل ـ، ـ گير انداختَن
- Schwierigkeiten machen; دَرد ِ سَر کَردَن
- eine Schwierigkeit nach der anderen; قوز بالاى ِ قوز
- die Dimensionen dieser Schwierigkeit; اَبعاد ِ اين مُعضِل
- seine Schwierigkeiten haben sich zum Guten gewendet; خَرِش از پُل گُذَشت
- eines der Schwierigkeiten des Landes; يِکى از مُعضَلات ِ کِشوَر
- du bekommst sicher Schwierigkeiten; حَتماً گير مى اُفتى
- sie hatte keine Ahnung von den Schwierigkeiten, in denen er s. befand; آنها از مُشکِلاتى که دَر گير ِ آن اُفتاده بود خَبَرى نَداشتَند
Schwierigkeitsgrad; ضَريب ِ تَعسُر
Schwimmbad; اِستَخر
Schwimmblase; باد کُنَک ِ ماهيها
schwimmen; شِنا کَردَن
Schwimmen (n); شِنا
- Schwimmen (Brustschwimmen); شِناى ِ قورباغه، ـ سينه
- Schwimmen (Freistil); شِناى ِ آزاد
- Schwimmen (Kraul); شِناى ِ کرال
- Schwimmen (Schmetterlingsstil); شِناى ِ پَروانه
- Schwimmen (Staffel); مُختَلِط ِ تيمى
schwimmend; شِناوَر بودَن، شِناکَنان
Schwimmer; شِناگَر
- Schwimmer (z.B. bei Angel); غَمازَک، شِناوَر
Schwimmhaut; پَره هاي ِ اَنگُشت ِ قورباغه
Schwimmkran; جَر ِ ثَقيل ِ غوطه اى
Schwindel; سَرگيجى، دَوار
- das Schwindelgefühl lässt nach; گيجى از ميان مى رَوَد
Schwindelei; کَلاشى، پِدَر سوخته بازى
schwindelig; مَنگ
- mir ist schwindelig; سَرَم مَنگ است، سَرَم گيج مى رَوَد، سَرَم بِدَوار مى اُفتَد
- den Menschen wird schwindelig; آدَم سَر گيجه مى اُفتَد
schwinden; مُنقَبِض شُدَن، آب رَفتَن، به باد رَفتَن
- ihre Hoffnung schwindet; اُميدِشان به باد مى رَوَد
- meine Kraft schwindet; قُوايَم تَحليل مى رَوَد
Schwindler; حُقه باز، کُلاه بَردار، کَلاش
Schwindsucht; سِل
schwindsüchtig; سِل دار، مَسلول
schwingen;
- Seil schwingen; طِناب را تاب دادَن
- zum Schwingen bringen; نَوان کَردَن، به نَوَسان دَر آوَردَن
schwingend; نَوان
Schwingung; اِرتِعاش، نَوَسان
Schwingungsdämpfer; ضَربه گير
Schwingungsschreiber; رِسام ِ اِرتِعاشات
Schwingungsweite; دامَنة نَوَسان، ـ اِرتِعاش
Schwingungszahl; فرِکانس
Schwips; سَرمَستى
schwitzen; عَرَق کَردَن
schwören; قَسَم خوردَن
- darauf schwören  (*: Eid); به چيزى سوگَند خوردَن، ـ قَسَم خ
schwül; هَواى ِ حار، شَرجى
schwulstig;
- schwulstige Ausdrücke; لُغات ِ قُلُنبه، ـ قُلُمبه سُلُمبه
Schwund;
- Schwund (med.); اِستِحالة رَديه، هُزال
- Popularitätsschwund; زُوال ِ مَحبوبيَت
Schwung; ضَرب، نَوَسان
- das gibt Schwung; حال مى دَهَد
- in Schwung bringen; پيش بُردَن
- in Schwung kommen; پيش رَفتَن
Schwungfeder; شَهپَر
Schwungmoment; مُمان ِ اينرَسى
Schwungrad; پَروانه، هِندِل
schwungvoll; با حَرارَت
Schwur; سوگَند
Schwurgericht; دادگاه ِ هيئَت ِ مُنصِفه
Science fiction; داستانهاى ِ رويائى دَر مورِد ِ آيَنده
sechs; شِش
Sechseck; سُداسى اُلاضلاع
sechskantig; سُداسى الوُجوه
Sechskantschraube; پيچ ِ شِش گوش
Sechstel; سُدس، يِک شِشُم
sechstens; سادِساً، شِشُم
sechster; سادِس، شِشُم
sechzehn; شانزدَه
Sechzig; شَست
Sediment; اَفکَنه، رُسوب، تَه نِشَست
sedimentieren; تَه نِشين کَردَن
See; دَريا
- zur See fahren; مِلوان شُدَن
Seefahrt; مَلامى، دَريا نَوَردى
Seegang; خيزآب
Seehund; فُک، خوک ِ دَريائى
seekrank; دَريا زَده
Seekuh; فوک
Seele; رَوان، جان
- zwei Seelen wohnen in meiner Brust; دَر اَندَرون ِ مَن نَدانَم کيست که مَن خَموشم و او دَر فَغان و دَر غوغاست، با دَست پَس می زَنَم با پا پيش می کِشَم
