Vabanquespiel; ماجِرا
- s. von vornherein einer Philosophie verschreiben; بَر سَر ِ يِک رَوِش ِ فَلسَفى پیشاپیش هَمقَسَم شُدَن، از قَبل خودرا تَسلیم ِ ـ
Vorprogramm (im Fernsehen); طَليِعه، پیشبَرنامه
Vorrang; اولَويَت
- Vorrang haben;  .پیشى گِرِفتَن، اولَويَت داشتَن، بَرتَرى د.، اَرجَحيَت د
vorrangig; با اَرجَحيَت
- vorrangig zu behandelnd; دَر خواست با فوريَت، ـ با اولَويَت
Vorrat; (pl.) موجودى، ذَخیره (ذَخايِر)، زاپاس
- Vorrat anlegen; ذَخیره کَردَن
- solange der Vorrat reicht; مابَقى ِ آن تا جائى که کِفايَت مى کُنَد
vorrätig;
- vorrätig sein; موجود بودَن
Vorraum; اُتاق ِ کَفش کُن، هَشتى
Vorrecht; اِمتیاز
- es war mir ein Vorrecht, Sie zu sehen; از دیدَن ِ شُما فِیض بُردَم
Vorreiter;
- Vorreiter, Initiator; مُبتَکِر
- Vorreiter, Anführer; پیشوا، پیشقَدَم، پیشتاز
Vorrichtung; دَستگاه، تَجهیزات
Vorsatz; قَصد، عَمد
vorsätzlich; عَمداً، مُتَعمِداً
Vorschein; ظُهور
- zum Vorschein kommen von ...;  ِ چیزى سَر بَر زَدَن، بُلَند شُدَن ِ بوى ِ چیزى، به ظُهور رِسیدَن
- unsere Taten kommen zum Vorschein; کار از ما سَر مى زَنَد
- Hand kam zum Vorschein; دَستى نَمایان گَردید
vorschieben;
- eine Sache vorschieben (als Ausrede); يِک چیزی را بَهانه آوَردَن
Vorschlag; پیشنَهاد
- die eingegangenen Vorschläge gelten ab ..; پیشنَهادات ِ رِسیده دَر تاریخ ِ .. مَفتوح است
vorschlagen; پیشنَهاد کَردَن
- ich habe seinen Namen vorgeschlagen; مَن اِسم ِ اورا پیشنَهاد کَردَم
- vorgeschlagener Preis; مَبلَغ ِ پیشنَهادى
vorschreiben; دَستور دادَن، مُقَرَر داشتَن
- das Gesetz schreibt vor; قانون مُقَرَر دارَد که، ـ تَصریح مى کُنَد که
- vorgeschriebener Besuch; دیدار ِ مَحتوم
Vorschrift; دَستور، مُقَرَرات
- (relig.) Vorschrift; (pl.)  (فَریضه (فَرائِض
- Dienst nach Vorschrift; خِدمَت طِبق ِ مُقَرَرات (حَد ِ اَقَل ِ لازِم
vorschriftsgemäss; بَر طِبق ِ قانون، ـ مُقَرَرات
Vorschub (Technik); تَغذیه
Vorschule; مَدرِسهٔ اِبتِدائى
Vorschuss; مُساعِده، پیش پَرداخت، بیعانه
- Vorschuss erhalten; مُساعِده گِرِفتَن، پیش پَرداخت دَریافت کَردَن، بیعانه ـ
- Vorschuss geben; پول ِ پیشَکى دادَن
vorsehen;
- eine Ausgabe im Etat vorsehen;  .خَرج دَر بودجه پیش بینى کَردَن، ـ تأمین ک
- länger dauern, als vorgesehen; بیش از حَد ِ اِنتِظار به دِرازا کِشیدَن
- die vorgesehene Zeit für die Arbeit war der ..; وَقت ِ تَعیین شُده بَرای ِ کار ... بود
Vorsicht; اِحتیاط
- aus Vorsicht; بِمَنظور ِ اِحتیاط
- Vorsicht ist die Mutter der Porzellankiste; اِحتیاط شَرط ِ عَقل است، بَد گُمان باش دَر اَمان باش
- mit Vorsicht hob er es auf; با اِحتیاط بَر مى داشت
vorsichtig; مُحتاط
- sei vorsichtig; هُشدار باش، مُحتاط باش، مُواظِب باش
- übervorsichtig sein; جایی نَخوبیدَن که آب زیرِش بِرَوَد
vorsichtshalber; اِحتیاطاً، از روى ِ اِحتیاط
Vorsilbe; سَر کلمه، پیشوَند
Vorsitz; تَصَدى، ریاسَت
- Vorsitz führen; ریاسَت کَردَن
- unter Vorsitz von;  ِ به تَصَدى
- Vorsitz im Ministerium; ریاسَت ِ هِیئَت ِ وِزارَت
Vorsitzender; رَئیس
- stellvertretender Parteivorsitzender; مُعاون ِ حِزب، نايِب ِ رَئیس ِ حِزب
Vorsorge; پیش گیرى
Vorsorgeuntersuchung (med.); مُعايِنهٔ پیشگیرانه
Vorspeise; پیش غَذا
Vorspiel; پیش دَر آمَد
Vorsprung; آوانس، سِبقَت، جلو اَنداختَن
- 8 Punkte Vorsprung (in Tabelle); صاحِب ِ ۸ اِمتیاز
- jem. einen Vorsprung geben (beim Sport, u.ä.);  .به کِسى آوانس دادَن، ـ اِمتیاز د
- Vorsprung (vom Berg, u.ä.); دَماغه
- Mauervorsprung (als Ablage); رَف
Vorstand; هِیئَت ِ اِجرائى  ِ..، هِیئَت ِ مُدیره
Vorstandsvorsitzender; رَئیس ِ هِیئَت ِ مُدیره
vorstellbar;
- vorstellbar sein;  .مُتَصَوِر بودَن، قابِل ِ تَصَوُر ب
- unvorstellbar; فوق اُلتَصَوُر
- das war kaum vorstellbar; نِمى شُد فِکرِش را کَرد
vorstellen;
- s. vorstellen (gegenüber jem.); خودرا مُعَرِفى کَردَن
- sie gingen zum ... und stellten s. vor als jem., der ...; ... آنها به ... رَفتَند و آشنایی دادَند که
- s. vorstellen, denken; اَنگاشتَن، نَقش بَندى کَردَن، تَصَوُر ک.، مُتَصَوَر بودَن
- welches Programm stellst du dir vor?; چه برنامه ای مُتَصَوَر هَستی؟
- man kann s. nicht vorstellen; تَصَوُر نِمى رَوَد
- soll das Thema vorstellen; بايَستى مُعَرِف ِ مَطلَب باشَد
- seinen Wunsch öffentlich vorstellen; آرِزوى ِ خودرا به مَنَصهٔ ظُهور رِسانیدَن
- man stellt s. jem. als Leiter vor; کِسى بِعُنوان ِ رَهبَر گُمان مى رَوَد
- stell dir vor!; به خود تَصَوُر کُن
Vorstellung;
- (Theater-) Vorstellung; اَجر، اَکران، صَحنه، نَمايِش
- gute Vorstellung geben; مَعَرِکه کَردَن
- hast du eine Vorstellung, wer das gemacht hat?; خیال مى کُنى کار ِ کى است؟
- nach meiner Vorstellung hat das .. gemacht; به خیالَم کار ِ فِلان بود
Vorstoss; پیشقَدَمى
vorstossen; راه یافتَن، پیش رَفتَن، راه ِ خودرا گُشودَن
Vorstrafe; سوء ِ پیشینه، ـ سابِقه
vortäuschen; با حیله، کَلَک زَدَن
- etwas als Unglück vortäuschen; چیزى را بِعُنوان ِ حادِثه جِلوه دادَن
- für das vorgetäuschte Wohl der Allgemeinheit; به لَطايِف اُلحيَل
Vorteil; مَزيَت، اِنتِفاع، مَنفعَت، سود
- jem., der seinen Vorteil sucht; او آدَم ِ لوس است
- jem. sucht seinen eigenen Vorteil; کِسی خَر ِ خودَش را سَوار است، اَره اَش رو به خود است
- das ist für ihn von Vorteil; این بَراى ِ او سودمَند است
Vortrag; نُطق، سُخَنرانى
- Vortrag halten;  .نُطق کَردَن، سُخَنرانى ک
vortragen;
- die Meinung gegenüber .. vortragen; اَفکاررا به کِسى مَعروض داشتَن، ـ دَر میان گُذاشتَن
vortrefflich; جَمیل، عالى
- vortrefflich aufzeigen; سامى نِشان دادَن
- eine vortreffliche Rede halten; نُطق ِ غَرائى کَردَن
vorüber; گُذَشته
- das ist vorüber; گُذَشته ها گُذَشته است، کار از کار گُذَشته
vorüberfliessen; رَوان شُدَن
vorübergehen; گُذَشتن، سِپَرى شُدَن
vorübergehend; يِک دَمه، زود گُذَر، کوتاه مُدَت
- das ist nur eine vorübergehende Erscheinung; این از پَدیده زود گُذَر بیش نیست
Voruntersuchung; تَحقیق ِ مُقَدَماتى، رِسیدِگى ِ ـ، بازجوئى ِ ـ
Vorurteil; پیشداوَرى، پیش فَرض
- voller Vorurteile; پُر از سوء ِ ظَن
- Rassenvorurteile; پیشداوَرى هاى ِ نِژادى
Vorverkauf; پیش فُروش
- im Vorverkauf die Karten besorgen; بِلیت را پیش خَرید کَردَن
Vorverständnis; پیش فَرض
Vorwahl (beim Telefon); پیش شُماره
Vorwand; بَهانه، سَرپوش
- etwas als Vorwand benutzen; چیزى را دَستاویز قَرار دادَن، ـ بَهانه گِرِفتَن
vorwärts; به پیش
- die Arbeit geht wie gewünscht vorwärts; کار بَر وَفق ِ مُراد پیش مى رَوَد
- Vorwärts!; به پیش
Vorwärtsbewegung; حَرَکَت ِ پیش رَوَنده
vorwärtsbringen; به پیش بُردَن
- eine Sache, die jem. vorwärtsbringt; چیزى کِسى را دَر پِى مى بَرَد، ـ به پیش مى بَرَد
Vorwärtsgang; دَندهٔ جِلو
Vorwärtsschreiten; گَردِش و خِرامِش
vorwerfen;  .نِکوهیدَن، مَلامَت کَردَن، سَرزَنِش ک، گِلایه ک
Vorwiderstand; مُقاوِمَت ِ سِرى ِ پیش بَند
Vorwort; پیشگُفتار، مُقَدَمه، دیباچه
Vorwurf; تَغَيُر، مَلامَت، نِکوهِش، سَرزَنِش، گِلایه
- Vorwurf machen; گِلِگى کَردَن
- jem. mit Vorwürfen bedenken; کِسى را مورِد ِ عِتاب قَرار دادَن
vorzeitig; زودتَر از موعِد
- vorzeitige Beendigung der Legislaturperiode; خاتِمهٔ زودتَر از موعِد ِ دورهٔ مَجلِس
vorziehen;
- vorziehen, bevorzugen; گُزیدَن، تَرجیح دادَن
- eine bestimmte Sache vorziehen; موضوع ِ خاصى را دَر پیش کِشیدَن
- sie zieht es vor, in ... zu bleiben; او ماندَن دَر ... را اِختیار مى کُنَد
- vorgezogene Wahlen; اِنتِخابات ِ پیش رَس، اِنتخابات ِ قَبل از موعِد، ـ زودرَس
Vorzug; اَرجَحيَت، تَرجیح
- Vorzug, gute Eigenschaft; (pl.)  (مَحسَن (مَحاسِن
- der Grund, dass Männer den Vorzug vor Frauen erhalten ist, ..; سَبَب ِ اَرجَحيَت ِ مَردها به زَنها این است که
- Vorzüge einer Ehe; مُحاسِن ِ اِزدِواج
- Mängel & Vorzüge; مَعايِب و مُحاسِن
vorzüglich; عالی
- vorzügliches Buch; کِتاب ِ شَریف
- vorzüglicher Kaffee; قَهوهٔ مُعَرِکه، ـ عالى
vorzugsweise; عَلىٰ خُصوص
Votum; رأی
- Votum abgeben; رأی دادَن
- Misstrauensvotum; رأى ِ عَدَم ِ اِعتِماد
vulgär; مُبتَذَل، رَکیک، بى اَدَب
Vulkan; کوه ِ آتَش فِشان
- wie ein Vulkan kurz vor dem Ausbruch (i.S.: erregt); مِثل ِ خِرس ِ تیر خورده
VW; فولِکس واگُن، فلوکسِل
