Saal (m); سالُن
- Feuer schüren; آتَش را اَفروختَن، ـ دامَن زَدَن، ـ تیز کَردَن
- Zwietracht schüren;  .نِزاع بَر پا کَردَن، - تَحریک ک
Schurke; آدَم ِ بَدجِنس
Schurkerei; دِنائَت، بَدجِنسى
schurkisch; دِنائَت طَبع
Schurz; پیش دامَن، پیش لُنگ، پیش بَند
Schürzenjäger; بَند ِ شَلوار ِ کِسی شُل است
Schuss; تیر
- Schuss (beim Fussball); شوت
- ein Schuss Milch; يِک مِقدار ِ کَم از شیر، یِک کَمی شیر
- ich goss ihm einen Schuss Alkohol ins Glas; تو لیوان يِک پِیک ِ مَشروب بَرای ِ او ریختَم
- weit ab vom Schuss; دور از بِگیر و بِبَند و جار و جَنجال
- das Auto ist gut in Schuss; ماشین مُرَتَب است
- die Wohnung in Schuss bringen; مَسکَن را سَر و سامان دادَن
schussbereit; آمادهٔ آتَش
- hinter dem Gewehr, das jederzeit schussbereit ist, ...; پُشت ِ تُفَنگ ِ هَمیشه آماده
Schüssel; بادیه، کاسه
- Schüssel (mit Inhalt, z.B. Suppe); بادیه
- Waschschüssel; تَشت، لَگَن
Schusser; چونه، گُلوله از خَمیر
Schusslinie;
- in der Schusslinie sein; دَر تیر رَس قَرار گِرِفتَن
Schussweite; تیر رَس، بُرد ِ تیر
- auf Schussweite sein; دَر تیر رَس بودَن
- auf Schussweite herangehen; تیر رَس شُدَن
Schuster; کَفاش
- Schuster bleib bei deinem leisten; کَلاغ خواست راه رَفتَن ِ کَبک را ياد بِگيره راه رَفتَن ِ خودِش هَم يادِش رَفت
- Flickschuster; کَفش دوزَک، پینه دوز
Schutt; آشغال
- alles liegt in Schutt & Asche; هَمه چیز خَراب است، ـ ویران شُد
- Bauschutt; زُباله
Schüttelfrost; تَب و لَرز
schütteln; تَکان دادَن
- sie schütteln mich kräftig; مُحکم تَکانَم مى دَهَند
- er schüttelt seinen Kopf; (infin.) او سَرَش را مى جُنباید (جُنباندَن)، ـ تَکان مى دَهَد
- ein Schütteln durchläuft ihn; بَدَن ِ او با رَعشه به لَرزِش مى اُفتَد
- geschüttelt werden; تَکان خوردَن
- der Baum wird geschüttelt; دِرَخت تَکان مى خورَد
Schüttelsieb; اَلَک، غَربال
schütten; ریختَن
schütter;
- schütteres Haar; موی ِ کَم پُشت، - تُنُک
Schüttgut; مَواد ِ اَوَلیه
Schutz; حِمايَت، حِفاظَت، حِفظ و حَراسَت، پُشتِبانى
- im Schutz von jem. leben; دَر دامان ِ کِسى پَناه بُردَن
- bei jem. Schutz suchen; به کِسى پَناه بُردَن
- zum Schutz Ihrer Angelegenheiten; دَر مُراقِبَت از اُمورات ِ خود
- die Stadt bietet keinen Schutz; این شَهر بی دَر و دَروازه
Schutzanzug; روکِش ِ مُحافِظ
Schutzblech; گِلگیر
Schütze; تُفَنگدار، تیراَنداز
schützen; کِسى را حِفاظت کَردَن، ـ مَحفوظ داشتَن
- geschützte Druckrechte; حُقوق ِ چاپ ِ مَحفوظ
- geschützter Ort; قُرُق، پَناه
Schützengraben; سَنگَر
Schutzgitter; شَبَکهٔ مُحافِظ
Schutzhaft; توقیف ِ حِفاظى
Schutzhelm; کُلاه ِ ایمَنى
Schützling; دَست نِشانده
Schutzmarke; عَلامَت ِ تِجارَتى، ـ مَحفوظ
Schutzmaßnahme; تَدبیر ِ ایمَنى
Schutzring;
- ein Schutzring um ...; ... ِ يِک حَلقهٔ مُحافِظ دور
Schutzzoll; گُمرُکى ِ حِمايَتى
schwach; ضَعیف، عَلیل، زَمین گیر، بى حال
- schwach werden; بال اَفکَندَن، عاجِز شُدَن
- schwach werden (bei Versuchung); دَست و پاى ِ کِسى شُل مى شَوَد
- täglich schwächer werden; آب دَر شِکَر داشتَن، روز از روز نِزارتَر شُدَن
- sie waren durch ... so schwach; آنها از ... نِزار شُده بودَند
- ich habe einen schwachen Punkt; يِک نُکته ضَعف دارَم
- einen schwachen Punkt ergreifen; آتو گِرِفتَن، نُکته ضَعف از کِسى گِرِفتَن
- schwache Hitze (beim Kochen); حَرارَت ِ مُلايِم
- schwacher Tee; چاى کَم مایه، ـ کَم رَنگ
- schwaches Feuer; آتَش ِ کَم سو
Schwäche; رِخوَت، ضَعف
- jem. Schwäche wird offenbar (und man redet darüber); تَق ِ کِسی دَر می آيَد
- nicht die Schwäche anderer ausnutzen; آدَم حِسابَش را پیش ِ خودِش میکُنَد (یَعنی: از شَرمِگی و حُجب ِ دیگَران اِستِفادهٔ سوء نَبایَد کَرد
- Atemschwäche; عُسر ِ نَفَس
Schwächeanfall;
- unterwegs einen Schwächeanfall haben; دَر راه ضَعف کَردَن
schwächen; کِسى را زَبون ساختَن، ـ ضَعیف کَردَن
Schwacher; شَخص ِ ضَعیف
- einen Schwachen nicht vernichten; شَخص ِ ضَعیف را از پا دَر نَیآوَردَن
Schwachkopf; نِفله، اَلدَنگ
schwächlich;
- schwächlicher Jüngling; جَوان ِ تَکیده، ـ زَبون
Schwachsinn; قِلَت ِ عَقل
schwachsinnig; خَرَفت
- schwachsinniger Mensch; آدَم ِ کودَن، ضَعیف اُلعَقل، سَخیف اُلعَقل
Schwächung; تَضعیف
- wirtschaftliche Schwächung; تَضعیف ِ اِقتِصادى
Schwager;  (باجِناق (شوهَر ِ خواهَر ِ زَنَم)، آیزِنه (شوهَر ِ خواهَر
Schwägerin;   (هَمگیس، خازِنه، زَن ِ بَرادَر، جاری (زَن ِ بَرادَر ِ شوهَر
Schwalbe; پَرَستوک، چِلچِله
- eine Schwalbe macht noch keinen Sommer; با يِک گُل بَهار نِمى آيَد
- einer Schwalbe das Fliegen beibringen wollen; آزموده را آزمودَن خَطاست
Schwamm; اِسفَنج، اَبر
- Schwamm, Schimmel; کَپَک
- Reinigungsschwamm; پاک ِ فوم
Schwan; قو
schwanen; اِحساس کَردَن
- mir schwante Schlimmes; اِحساس ِ شُبهه کَردَم
schwanger; آبِستَن، حامِله
- sie war im 9. Monat schwanger; او ۹ ماهه حامِله بود
Schwangerschaft; آبِستَنى، حامِلِگى
Schwangerschaftsabbruch; کورتاژ
Schwangerschaftsgelüste; ویار ِ زَن ِ آبِستَن
Schwangerschaftsverhütung; جِلوگیرى از حامِلِگى
schwanken;
- schwanken (Schiff, u.ä.); لَق بودَن، نَوان شُدَن، جُنبِش خوردَن
- er schwankt (i.S. zweifelt); او مُرَدَد است
- er schwankte zwischen Habgier und Angst; او بِین ِ طَمع و تَرس سَرگَردان بود
Schwankung; نَوَسان، تَغییر، بى ثَباتى، اُفت و خیز
Schwankungsbreite; میزان ِ نَوَسانات
Schwanz; دُم
- er zog seinen Schwanz ein; دُمَش را روى ِ کولَش گُذاشت
- Fettschwanz  (beim Schaf); دُنبه
schwänzen;
- Schule schwänzen; از مَدرِسه جیم شُدَن، ـ دَر رَفتَن
- einer, der die Schule schwänzt; مَکتَب گُریز
schwärmen; شیفتهٔ چیزی بودَن
schwarz; اَسوَد، مِشکى، سیاه
- schwarze Nacht; شَب ِ تار
- schwarzer Tag; بَخت بَر گَشته، تیره روز، سیاه بَخت
- schwarzes Schaf sein; گوسفَند ِ پیشانهٔ سِفید بودَن
- schwarzes Brett; تابلوى ِ اِعلانات
- ich sehe schwarz; چَشمَم آب نِمى خورَد
- schwarz vor Augen werden; چِشمها سیاهى رَفتَن
- sie machen ihn zum Schwarzen Peter; کاسهٔ کوزه را سَرَش مى شِکَنَند
- Schwarzes Meer; بَهر ِ اَسوَد
Schwarzarbeit; کار سیاه، - غِیر ِ قانونی
schwärzlich; سیاه فام
Schwarzmalerei; تَصویر ِ بَدبینانه
Schwarzmarkt; بورس ِ سیاه، بازار ِ ـ
Schwarzsender; فِرِستَندهٔ غِیر ِ مُجاز
Schwärzung; اِسوِِداد
Schwarzweissmalerei; سایه روشَن، فِکرهاى ِ سیاه سِفید
schwatzen;
- mit jem. schwatzen; با کِسى وِر زَدَن، ـ گَپَ زَدَن
- er schwatzt mit ihnen; او با آنها خوش و بِش می کُنَد
- drauflos schwatzen;  .بى رَبط گُفتَن، چِِرَند گ
- über alles mögliche schwatzen; از هَر دَری حَرف زَدَن
- schwatz nicht rum; پُر چانِگی نَکُن
- mach das und schwatze nicht lange herum (popul.); اینرا بُکَن توى ِ نَخ ِ این حُرَفا نَرو
Schwätzer; مُهمَل باف، پُرچانه، دَهَن لَق، یاوه سَرا، وَراج، مُغلَق گو، حَراف
- als Dummschwätzer gelten; کِسی را حَرف ِ حَسَن پَشم ِ کَسَن به حِساب می آيَند
Schwebebahn; سیم ِ نَقاله، تِلِکابین
schweben;
- in den Lüften schweben; به سُهولَت این وَر آن وَر حَرَکَت کَردَن
- schwebende Frage; مَسائل دَر حال ِ تَعلیق، سئوال ِ مُعَلَق
- schwebendes Verfahren; وَضیعَت بِلاتَکلیف است، ـ مُعَلَق است
Schwefel; گوگِرد
Schwefelsäure; جوهَر ِ گوگِرد، اَسید ِ سولفوریک
Schweigegeld; حَق ِ سُکوت
- Schweigegeld bezahlen; حَق السُکوت پَرداختَن
schweigen; سُکوت کَردَن
- schweigen zu ...; رِسانه دَر مورِد ِ ... سُکوت کَردَن
- schweigen wie ein Grab; چِفت و بَست ِ دَهان را مُحکَم کَردَن
- er schweigt vor Angst; از تَرس زَبانَش بَند مى آيَد
- er schwieg; او لَب از لَب بَر نَداشت
- schweigende Mehrheit; اَکثَريَت ِ ساکِت
Schweigen (n); سُکوت، صَموت، صُمات
- durch Argumente zum Schweigen bringen; اِفحام
- als er mein Schweigen bemerkte; وَقتى تو لَب رَفتَن ِ مرا مى بینَد
- jetzt ist Schweigen angesagt (genug geredet); اُلُب اُلُب سَنگ ِ سُرُب
- jem. gewaltsam zum Schweigen bringen; دَهَن ِ کِسی را سِرویس کَردَن
Schweigepflicht; واجِب الکِتمان، تَعَهُد ِ راز دارى
Schweigeturm (bei Zoroastern); دَخمه
schweigsam;
- er sah ihn mürrisch und schweigsam; اورا دَرهَم و گِرِفته دید
Schwein; خوک، خِنزیر
Schweinehund;
- den inneren Schweinehund überwinden; پای ِ کِسی روی ِ بیل رَفتَن
Schweinestall; خوکدان
Schweiß; عَرَق
- im Schweiße deines Angesichtes; به عَرَق ِ پیشانى ات
- der Schweiß steht auf der Stirn (wegen Verlegenheit); از خِجالَت آب شُدَن
- das habe ich mir im Schweiße meines Angesichts erarbeitet; این را از کَد ِ يَمین و عَرَق جَبین  ِخود دَر آوَردَم
Schweißband; عَرَق چین
Schweißbrenner; تُرج ِ جوش
schweißen; جوش دادَن، جوشکارى کَردَن
- zusammengeschweißt werden; جوش خوردَن
Schweißen (n); جوشکارى
Schweißgeruch; پِلِشتى ِ عَرَق
Schweißindustrie; صَنعَت ِ جوش
Schweißnaht; خَط ِ جوش
Schweißsekretion; تَرَشُح ِ عَرَق
Schweißtechnik; صَنايِع ِ جوش
Schwelle; آستانه
- Türschwelle; دَرگاه ِ مَنزِل، آستانهٔ مَنزِل
- Eisenbahnschwelle; تراوِرس ِ راه ِ آهَن
- an der Schwelle des ...; دَر آستانهٔ
schwellen;  .وَرَم کَردَن، آماسیدَن، نَفخ کَردَن، باد ک
Schwellenreiz; کَمتَرین شِدَت ِ تَحریک
Schwellenwert; حَدِاَقَل ِ شِدَت ِ تَحریک
Schwellung; وَرَم، آماس
Schwengel; کوبه
Schwenkbereich; ناحیهٔ نَوَسان، ـ اِرتِعاش
schwenken; نَوَسان کَردَن
Schwenkkran; جَر ِ ثَقیل ِ گَردان
schwer; سَنگین، صَعَب
- schwer, kompakt; ثَقیل
- er ist schwer verletzt worden; او بَد جورى مَجروح شُد، او سَخت مَجروح شُد
- schwer passierbar; صَعَب اُلعُبور
- schwer zugänglich; صَعَب اُلوُرود
- schwer im Magen liegen; غَذا دَر مِعده سَنگینى مى کُنَد
- sein Gewicht ist schwer; وَزنَش سَنگین است
- schwerer Kreuzer; رَزم ناو
- die Tasche wurde immer schwerer auf ihrer Schulter; کیفَش لَحظه به لَحظه بیشتَر به شانه اش فِشار مى آوُرد
Schwere; سَنگینى
Schwerelosigkeit; حالَت ِ بى وَزنى
schwerfallen; زور آمَدَن
- es fällt mir schwer, zu grüssen; زورم مى آيَد سَلام کُنَم
- es fällt mir schwer, ... zu finden; دَر یافتن ِ... به مُشکِل بَر مى خورَم
schwerfällig; کُند
- er ist schwerfällig; او کُند فَهم است
- schwerfällig im Reden; آدَم ِ بَطى اُلکَلام
Schwerhörigkeit; ثِقَل سامِعه، گوش سَنگینى
Schwerkraft; نیروى ِ ثِقَل، نیروى ِ جاذِبه
- Gesetz der Schwerkraft; قانون ِ گِرانِش
schwerlich; به زور
- man lernt ihn schwerlich kennen durch ...; اورا از طَریق ِ ... مُشکِل مى شَوَد شِناخت
schwer machen;
- s. die Arbeit gewaltig schwer machen; کار ِ خودرا کوه کَردَن
- jem. das Leben schwer machen; به جان ِ کِسى اُفتادَن
- du machst es mir schwer; تو به مَن سَخت مى گیرى
- um ihm mit ... das Leben schwer zu machen; تا اورا با ... ذَلیل سازَد، تا اورا از پاى دَر بیاوَرَد
Schwermetall; فِلِز ِ سَخت
Schwermut; مالیخولیا، اَفسُردِگى
schwermütig; مالیخولیائى، اَفسُرده
schwernehmen;
- s. das Leben schwernehmen; زِندِگى را سَخت گِرِفتَن
Schwerpunkt; مَرکَز ِ ثِقَل، گِرانیگاه
- mit Schwerpunkt auf ...; ... با تَوَجُه ِ خاص بَر
Schwert; شَمشیر، قَمِچیل
- Schwert (2-schneidig); قَداره
- steck dein Schwert weg; شَمشیرَت را غَلاف کُن
Schwertfisch; اَره ماهى
Schwertschaft; مُؤَخَر ِ نِیزه
Schwester; (pl.) اُخت (اَخوات)، خواهَر
- Schwester (familiär, in der Anrede); آبجی
Schwiegereltern; والِدِین ِ هَمسَر
Schwiegermutter; مادَر زَن، - شوهَر
Schwiegersohn; داماد
Schwiegertochter; عَروس
Schwiegervater; پِدَر زَن، - شوهَر
Schwielen; ناصور، پینه دار، شَوا، طاوُل
- schwielige Hand; دَست ِ پینه زَده
schwierig;
- schwierig sein;  .مُتَعسِر بودَن، مُشکِل ب.، سَخت ب.، مُعضِل ب
- schwierige Aufgabe; تَکلیف ِ شاق، ـ دُشوار
- die Geschichte ist schwieriger, als man denkt; این قَضیه بیخ دارَد
Schwierigkeit; (pl.) گیر، مَسئَله، مَنع (مَوانِع)، مُشکِل (مُشکِلات)، مَضیقه (مَضايِق)، تَعسُر، مُعضِل (مُعضِلات)، دَغمَسه، عُسرَت
- in Schwierigkeiten sein;  .دَر حِیص و بِیص بودَن، دَر مَخمَصه ب
- in Schwierigkeiten kommen; به مَخمَصه اُفتادَن، به خِنِس و فِنِس اُفتادَن، به سُتوه آمَدَن
- jem. in Schwierigkeiten bringen; کِسى را به دَغمَسه اَنداختَن، ـ به هَچَل ا.، ـ گیر انداختَن
